robot1
td,wD,wI,id,degree,bx,by,id,degree,bx,by
42.7,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,32.6531,-0.997784,0.066533
43.4,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,33.2793,0.181998,-0.983299
44.1,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,33.2793,0.181998,-0.983299
44.8,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,33.2793,0.181998,-0.983299
45.5,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,33.9055,0.907871,0.419250
46.2,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,34.6883,0.907494,-0.420065
46.9,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,34.3752,0.225210,-0.974310
47.6,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,33.9055,0.907871,0.419250
48.3,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,34.2186,0.226086,0.974107
49,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,34.8448,-0.999765,-0.021697
49.7,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,34.6883,0.907494,-0.420065
50.4,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,35.3145,0.182882,0.983135
51.1,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,35.1579,-0.596375,-0.802706
51.8,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,35.0014,0.888487,0.458902
52.5,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,35.1579,-0.596375,-0.802706
53.2,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,36.0972,0.867295,0.497795
53.9,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,35.1579,-0.596375,-0.802706
54.6,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393
55.3,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,35.3145,0.182882,0.983135
56,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,34.5317,-0.630517,0.776176
56.7,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,35.3145,0.182882,0.983135
57.4,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,35.3145,0.182882,0.983135
58.1,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,35.3145,0.182882,0.983135
58.8,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,35.1579,-0.596375,-0.802706
59.5,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,35.1579,-0.596375,-0.802706
60.2,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,34.8448,-0.999765,-0.021697
60.9,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,35.0014,0.888487,0.458902
