robot1
td(ms),wD,wI,id,x,y,z,id,x,y,z
2360,0.000000,0.000000,1,0.489093,0.143510,1.219550,3,-0.303615,0.138490,1.180009
2400,0.000000,0.000000,1,0.477976,0.141812,1.182337,2,-9999.000000,-9999.000000,-9999.000000
2440,0.000000,0.000000,1,0.487887,0.140538,1.184415,3,-0.297821,0.133452,1.158228
2480,0.000000,0.000000,1,0.503783,0.145927,1.205267,3,-0.303047,0.137629,1.187892
2520,0.000000,0.000000,1,0.497875,0.146622,1.137546,3,-0.276630,0.135338,1.129193
2560,0.000000,0.000000,1,0.523709,0.155374,1.169686,3,-0.279706,0.139662,1.158584
2600,0.000000,0.000000,3,-0.267224,0.132302,1.131149,2,-9999.000000,-9999.000000,-9999.000000
2640,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
2680,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
2720,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
2760,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
2800,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
2840,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
2880,0.000000,0.000000,3,-0.125070,0.139356,1.090902,2,-9999.000000,-9999.000000,-9999.000000
2920,0.000000,0.000000,3,-0.115462,0.138142,1.064409,2,-9999.000000,-9999.000000,-9999.000000
2960,0.000000,0.000000,3,-0.106710,0.141027,1.064692,2,-9999.000000,-9999.000000,-9999.000000
3000,0.000000,0.000000,3,-0.099340,0.143865,1.064442,2,-9999.000000,-9999.000000,-9999.000000
3040,0.000000,0.000000,3,-0.092082,0.146718,1.064921,2,-9999.000000,-9999.000000,-9999.000000
3080,7.011981,6.553203,3,-0.073612,0.145566,1.041524,2,-9999.000000,-9999.000000,-9999.000000
3120,7.011981,6.553203,3,-0.064337,0.144286,1.017445,2,-9999.000000,-9999.000000,-9999.000000
3160,7.683837,6.875335,3,-0.055748,0.150938,1.040078,2,-9999.000000,-9999.000000,-9999.000000
3200,7.683837,6.875335,3,-0.045799,0.151031,1.040501,2,-9999.000000,-9999.000000,-9999.000000
3240,7.683837,6.875335,3,-0.035475,0.143940,0.992441,2,-9999.000000,-9999.000000,-9999.000000
3280,7.683837,6.875335,1,0.742538,0.142001,0.810971,3,-0.022179,0.142104,0.974903
3320,7.683837,6.875335,3,-0.013856,0.145568,0.994575,2,-9999.000000,-9999.000000,-9999.000000
3360,7.683837,6.875335,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
3400,0.000000,0.000000,3,0.005635,0.144495,0.951387,2,-9999.000000,-9999.000000,-9999.000000
3440,0.000000,0.000000,3,0.015403,0.144517,0.951252,2,-9999.000000,-9999.000000,-9999.000000
3480,0.000000,0.000000,3,0.036674,0.145660,0.928736,2,-9999.000000,-9999.000000,-9999.000000
3520,0.000000,0.000000,3,0.045216,0.147004,0.949769,1,0.808369,0.137168,0.718863
3560,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
3600,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
3640,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
3680,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
3720,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
3760,0.000000,0.000000,3,-0.231598,0.139421,0.889750,1,0.549427,0.139419,0.868421
3800,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
3840,0.000000,0.000000,1,0.568574,0.143137,0.849036,3,-0.202885,0.139503,0.874672
3880,0.000000,0.000000,3,-0.198979,0.144635,0.896445,1,0.571437,0.142128,0.838407
3920,0.000000,0.000000,3,-0.190091,0.137893,0.862404,1,0.576041,0.142494,0.841956
3960,0.000000,0.000000,3,-0.191236,0.137858,0.861979,1,0.577296,0.142998,0.848462
4000,0.000000,0.000000,3,-0.194279,0.139463,0.875650,1,0.596989,0.147297,0.874359
4040,0.000000,0.000000,3,-0.191236,0.137858,0.861979,1,0.577296,0.142998,0.848462
4080,0.000000,0.000000,3,-0.194905,0.141120,0.878308,1,0.587602,0.145896,0.860709
4120,0.000000,0.000000,3,-0.191236,0.137858,0.861979,1,0.596989,0.147297,0.874359
4160,0.000000,0.000000,3,-0.194766,0.143134,0.876163,1,0.577013,0.145571,0.847755
4200,0.000000,0.000000,3,-0.194111,0.142498,0.860544,1,0.575108,0.147492,0.847339
4240,0.000000,0.000000,3,-0.191642,0.137744,0.860937,1,0.574226,0.140263,0.837223
4280,0.000000,0.000000,3,-0.186394,0.142585,0.861976,1,0.580173,0.144521,0.827761
4320,0.000000,0.000000,3,-0.187558,0.145264,0.893852,2,-9999.000000,-9999.000000,-9999.000000
4360,0.000000,0.000000,3,-0.174852,0.142491,0.862748,1,0.590701,0.139157,0.810399
4400,0.000000,0.000000,3,-0.175771,0.149417,0.898335,1,0.599104,0.138631,0.802453
4440,0.000000,0.000000,3,-0.163817,0.145322,0.859144,2,-9999.000000,-9999.000000,-9999.000000
4480,0.000000,0.000000,3,-0.147375,0.142134,0.845472,1,0.623920,0.138365,0.782685
4520,0.000000,0.000000,3,-0.144826,0.147135,0.865128,1,0.632431,0.137894,0.774853
4560,0.000000,0.000000,3,-0.141339,0.147148,0.866114,1,0.619195,0.132705,0.746890
4600,0.000000,0.000000,3,-0.135164,0.144458,0.846588,1,0.629424,0.131987,0.748516
4640,-0.000000,5.837842,3,-0.132533,0.146266,0.850864,1,0.631348,0.131687,0.737059
4680,-0.000000,5.837842,3,-0.123925,0.139762,0.819823,2,-9999.000000,-9999.000000,-9999.000000
4720,-0.000000,5.837842,3,-0.121246,0.140412,0.817187,1,0.639733,0.131213,0.714995
4760,5.406708,5.098272,3,-0.120499,0.141456,0.817381,1,0.641003,0.130069,0.704866
4800,5.406708,5.098272,3,-0.113914,0.138860,0.805541,1,0.644776,0.128575,0.694813
4840,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
4880,0.000000,0.000000,3,-0.095314,0.138069,0.785845,2,-9999.000000,-9999.000000,-9999.000000
4920,0.000000,0.000000,3,-0.088382,0.137195,0.788146,2,-9999.000000,-9999.000000,-9999.000000
4960,0.000000,0.000000,3,-0.086169,0.147872,0.846066,2,-9999.000000,-9999.000000,-9999.000000
5000,0.000000,0.000000,3,-0.069639,0.136139,0.773635,2,-9999.000000,-9999.000000,-9999.000000
5040,0.000000,0.000000,3,-0.051695,0.139484,0.775028,2,-9999.000000,-9999.000000,-9999.000000
5080,0.000000,0.000000,3,-0.040323,0.132759,0.743331,2,-9999.000000,-9999.000000,-9999.000000
5120,0.000000,0.000000,3,-0.032414,0.131463,0.739891,2,-9999.000000,-9999.000000,-9999.000000
5160,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
5200,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
5240,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
5280,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
5320,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
