robot1
td(ms),wD,wI,id,x,y,z,id,x,y,z
1340,0.000000,0.000000,3,0.286283,0.176314,0.461879,2,-0.792076,0.237534,1.028105
1360,0.000000,0.000000,3,0.286283,0.176314,0.461879,2,-0.792076,0.237534,1.028105
1380,0.000000,0.000000,3,0.286283,0.176314,0.461879,2,-0.792076,0.237534,1.028105
1400,0.000000,0.000000,3,0.280398,0.172489,0.451701,2,-0.780788,0.234422,1.014625
1420,0.000000,0.000000,3,0.280398,0.172489,0.451701,2,-0.780788,0.234422,1.014625
1440,0.000000,0.000000,3,0.280398,0.172489,0.451701,2,-0.780788,0.234422,1.014625
1460,0.000000,0.000000,3,0.280398,0.172489,0.451701,2,-0.780788,0.234422,1.014625
1480,0.000000,0.000000,3,0.282158,0.173225,0.454617,2,-0.780788,0.234422,1.014625
1500,0.000000,0.000000,3,0.282158,0.173225,0.454617,2,-0.780788,0.234422,1.014625
1520,0.000000,0.000000,3,0.282158,0.173225,0.454617,2,-0.780788,0.234422,1.014625
1540,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.792076,0.237534,1.028105
1560,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.792076,0.237534,1.028105
1580,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.780788,0.234422,1.014625
1600,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.780788,0.234422,1.014625
1620,0.000000,0.000000,3,0.282579,0.173893,0.456767,2,-0.780788,0.234422,1.014625
1640,0.000000,0.000000,3,0.282579,0.173893,0.456767,2,-0.780788,0.234422,1.014625
1660,0.000000,0.000000,3,0.282579,0.173893,0.456767,2,-0.780788,0.234422,1.014625
1680,0.000000,0.000000,3,0.286283,0.176314,0.461879,2,-0.780788,0.234422,1.014625
1700,0.000000,0.000000,3,0.286283,0.176314,0.461879,2,-0.780788,0.234422,1.014625
1720,0.000000,0.000000,3,0.286283,0.176314,0.461879,2,-0.780788,0.234422,1.014625
1740,0.000000,0.000000,3,0.286283,0.176314,0.461879,2,-0.780788,0.234422,1.014625
1760,0.000000,0.000000,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
1780,0.000000,0.000000,3,0.280398,0.172489,0.451701,2,-0.780788,0.234422,1.014625
1800,0.000000,0.000000,3,0.280398,0.172489,0.451701,2,-0.780788,0.234422,1.014625
1820,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.780788,0.234422,1.014625
1840,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.780788,0.234422,1.014625
1860,0.000000,0.000000,3,0.282310,0.173532,0.455588,2,-0.780788,0.234422,1.014625
1880,0.000000,0.000000,3,0.282310,0.173532,0.455588,2,-0.780788,0.234422,1.014625
1900,0.000000,0.000000,3,0.282310,0.173532,0.455588,2,-0.780788,0.234422,1.014625
1920,0.000000,0.000000,3,0.280398,0.172489,0.451701,2,-0.780788,0.234422,1.014625
1940,0.000000,0.000000,3,0.280398,0.172489,0.451701,2,-0.780788,0.234422,1.014625
1960,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.792076,0.237534,1.028105
1980,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.792076,0.237534,1.028105
2000,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.780788,0.234422,1.014625
2020,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.780788,0.234422,1.014625
2040,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.780788,0.234422,1.014625
2060,0.000000,0.000000,3,0.282310,0.173532,0.455588,2,-0.792076,0.237534,1.028105
2080,0.000000,0.000000,3,0.282310,0.173532,0.455588,2,-0.792076,0.237534,1.028105
2100,0.000000,0.000000,3,0.280398,0.172489,0.451701,2,-0.792076,0.237534,1.028105
2120,0.000000,0.000000,3,0.280398,0.172489,0.451701,2,-0.792076,0.237534,1.028105
2140,0.000000,0.000000,3,0.282310,0.173532,0.455588,2,-0.780788,0.234422,1.014625
2160,0.000000,0.000000,3,0.282310,0.173532,0.455588,2,-0.780788,0.234422,1.014625
2180,0.000000,0.000000,3,0.282310,0.173532,0.455588,2,-0.780788,0.234422,1.014625
2200,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.792076,0.237534,1.028105
2220,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.792076,0.237534,1.028105
2240,0.000000,0.000000,3,0.280398,0.172489,0.451701,2,-0.780788,0.234422,1.014625
2260,0.000000,0.000000,3,0.280398,0.172489,0.451701,2,-0.780788,0.234422,1.014625
2280,0.000000,0.000000,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
2300,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.792076,0.237534,1.028105
2320,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.792076,0.237534,1.028105
2340,0.000000,0.000000,3,0.281565,0.172956,0.452849,2,-0.792076,0.237534,1.028105
2360,0.000000,0.000000,3,0.281565,0.172956,0.452849,2,-0.792076,0.237534,1.028105
2380,0.000000,0.000000,3,0.280398,0.172489,0.451701,2,-0.792076,0.237534,1.028105
2400,0.000000,0.000000,3,0.280398,0.172489,0.451701,2,-0.792076,0.237534,1.028105
2420,0.000000,0.000000,3,0.280398,0.172489,0.451701,2,-0.792076,0.237534,1.028105
2440,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.780788,0.234422,1.014625
2460,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.780788,0.234422,1.014625
2480,0.000000,0.000000,3,0.286283,0.176314,0.461879,2,-0.780788,0.234422,1.014625
2500,0.000000,0.000000,3,0.286283,0.176314,0.461879,2,-0.780788,0.234422,1.014625
2520,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.780788,0.234422,1.014625
2540,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.780788,0.234422,1.014625
2560,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.780788,0.234422,1.014625
2580,0.000000,0.000000,3,0.280398,0.172489,0.451701,2,-0.780788,0.234422,1.014625
2600,0.000000,0.000000,3,0.280398,0.172489,0.451701,2,-0.780788,0.234422,1.014625
2620,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.780788,0.234422,1.014625
2640,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.780788,0.234422,1.014625
2660,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.780788,0.234422,1.014625
2680,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.780788,0.234422,1.014625
2700,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.780788,0.234422,1.014625
2720,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.780788,0.234422,1.014625
2740,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.780788,0.234422,1.014625
2760,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.780788,0.234422,1.014625
2780,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.780788,0.234422,1.014625
2800,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.780788,0.234422,1.014625
2820,0.000000,0.000000,3,0.286283,0.176314,0.461879,2,-0.792076,0.237534,1.028105
2840,0.000000,0.000000,3,0.286283,0.176314,0.461879,2,-0.792076,0.237534,1.028105
2860,0.000000,0.000000,3,0.280398,0.172489,0.451701,2,-0.780788,0.234422,1.014625
2880,0.000000,0.000000,3,0.280398,0.172489,0.451701,2,-0.780788,0.234422,1.014625
