robot1
td(ms),wD,wI,id,x,y,z,id,x,y,z
1260,-0.000000,-0.000000,3,-0.604963,0.158046,1.462877,1,0.220072,0.152851,1.489141
1280,-0.000000,-0.000000,3,-0.605659,0.158558,1.467509,1,0.220072,0.152851,1.489141
1300,-0.000000,-0.000000,3,-0.605659,0.158558,1.467509,1,0.220072,0.152851,1.489141
1320,-0.000000,-0.000000,1,0.220072,0.152851,1.489141,3,-0.586879,0.152231,1.418086
1340,-0.000000,-0.000000,1,0.220072,0.152851,1.489141,3,-0.586879,0.152231,1.418086
1360,-0.000000,-0.000000,3,-0.604963,0.158046,1.462877,1,0.220072,0.152851,1.489141
1380,-0.000000,-0.000000,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
1400,-0.000000,-0.000000,3,-0.604963,0.158046,1.462877,1,0.220072,0.152851,1.489141
1420,-0.000000,-0.000000,3,-0.605659,0.158558,1.467509,1,0.220072,0.152851,1.489141
1440,-0.000000,-0.000000,3,-0.605659,0.158558,1.467509,1,0.220072,0.152851,1.489141
1460,-0.000000,-0.000000,3,-0.604963,0.158046,1.462877,1,0.220072,0.152851,1.489141
1480,-0.000000,-0.000000,3,-0.605659,0.158558,1.467509,900,-9999.000000,-9999.000000,-9999.000000
1500,-0.000000,-0.000000,3,-0.605659,0.158558,1.467509,1,0.220072,0.152851,1.489141
1520,-0.000000,-0.000000,3,-0.605659,0.158558,1.467509,1,0.220072,0.152851,1.489141
1540,-0.000000,-0.000000,3,-0.605659,0.158558,1.467509,1,0.220072,0.152851,1.489141
1560,-0.000000,-0.000000,3,-0.604963,0.158046,1.462877,1,0.220072,0.152851,1.489141
1580,-0.000000,-0.000000,3,-0.604963,0.158046,1.462877,1,0.220072,0.152851,1.489141
1600,-0.000000,-0.000000,1,0.220072,0.152851,1.489141,900,-9999.000000,-9999.000000,-9999.000000
1620,-0.000000,-0.000000,1,0.220072,0.152851,1.489141,3,-0.584347,0.151797,1.414655
1640,-0.000000,-0.000000,1,0.220072,0.152851,1.489141,3,-0.584347,0.151797,1.414655
1660,-0.000000,-0.000000,3,-0.604963,0.158046,1.462877,1,0.220072,0.152851,1.489141
1680,-0.000000,-0.000000,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
1700,-0.000000,-0.000000,1,0.220072,0.152851,1.489141,900,-9999.000000,-9999.000000,-9999.000000
1720,-0.000000,-0.000000,3,-0.605659,0.158558,1.467509,1,0.220072,0.152851,1.489141
1740,-0.000000,-0.000000,3,-0.605659,0.158558,1.467509,1,0.220072,0.152851,1.489141
1760,-0.000000,-0.000000,1,0.220072,0.152851,1.489141,3,-0.586879,0.152231,1.418086
1780,-0.000000,-0.000000,1,0.220072,0.152851,1.489141,3,-0.584347,0.151797,1.414655
1800,-0.000000,-0.000000,1,0.220072,0.152851,1.489141,3,-0.584347,0.151797,1.414655
1820,-0.000000,-0.000000,3,-0.605659,0.158558,1.467509,1,0.220072,0.152851,1.489141
1840,-0.000000,-0.000000,3,-0.605659,0.158558,1.467509,1,0.220072,0.152851,1.489141
1860,-0.000000,-0.000000,1,0.220072,0.152851,1.489141,900,-9999.000000,-9999.000000,-9999.000000
1880,-0.000000,-0.000000,1,0.220072,0.152851,1.489141,3,-0.584347,0.151797,1.414655
1900,-0.000000,-0.000000,1,0.220072,0.152851,1.489141,3,-0.584347,0.151797,1.414655
1920,-0.000000,-0.000000,1,0.220072,0.152851,1.489141,3,-0.584347,0.151797,1.414655
1940,-0.000000,-0.000000,1,0.220072,0.152851,1.489141,3,-0.584347,0.151797,1.414655
1960,-0.000000,-0.000000,1,0.220072,0.152851,1.489141,900,-9999.000000,-9999.000000,-9999.000000
1980,-0.000000,-0.000000,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
2000,-0.000000,-0.000000,1,0.220072,0.152851,1.489141,900,-9999.000000,-9999.000000,-9999.000000
2020,-0.000000,-0.000000,1,0.220072,0.152851,1.489141,3,-0.584347,0.151797,1.414655
2040,-0.000000,-0.000000,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
2060,-0.000000,-0.000000,1,0.220072,0.152851,1.489141,3,-0.586879,0.152231,1.418086
2080,-0.000000,-0.000000,3,-0.605659,0.158558,1.467509,1,0.220072,0.152851,1.489141
2100,-0.000000,-0.000000,3,-0.605659,0.158558,1.467509,1,0.220072,0.152851,1.489141
2120,-0.000000,-0.000000,1,0.220072,0.152851,1.489141,900,-9999.000000,-9999.000000,-9999.000000
2140,-0.000000,-0.000000,1,0.220072,0.152851,1.489141,900,-9999.000000,-9999.000000,-9999.000000
2160,-0.000000,-0.000000,3,-0.618386,0.160538,1.494454,1,0.220072,0.152851,1.489141
2180,-0.000000,-0.000000,3,-0.604963,0.158046,1.462877,1,0.220072,0.152851,1.489141
2200,-0.000000,-0.000000,3,-0.604963,0.158046,1.462877,1,0.220072,0.152851,1.489141
2220,-0.000000,-0.000000,1,0.220072,0.152851,1.489141,900,-9999.000000,-9999.000000,-9999.000000
2240,-0.000000,-0.000000,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
2260,-0.000000,-0.000000,3,-0.604963,0.158046,1.462877,1,0.220072,0.152851,1.489141
2280,-0.000000,-0.000000,3,-0.604963,0.158046,1.462877,1,0.220072,0.152851,1.489141
2300,-0.000000,-0.000000,3,-0.604963,0.158046,1.462877,1,0.220072,0.152851,1.489141
2320,0.000000,0.000000,1,0.220072,0.152851,1.489141,3,-0.584347,0.151797,1.414655
2340,0.000000,0.000000,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
2360,0.000000,0.000000,3,-0.604963,0.158046,1.462877,1,0.220072,0.152851,1.489141
2380,0.000000,0.000000,3,-0.604963,0.158046,1.462877,1,0.220072,0.152851,1.489141
2400,0.000000,0.000000,3,-0.604963,0.158046,1.462877,1,0.220072,0.152851,1.489141
2420,0.000000,0.000000,1,0.227822,0.159247,1.541344,3,-0.588730,0.154495,1.419589
2440,0.000000,0.000000,1,0.234146,0.167623,1.540102,3,-0.579222,0.161991,1.415269
2460,0.000000,0.000000,1,0.234146,0.167623,1.540102,3,-0.579222,0.161991,1.415269
2480,0.054973,0.055021,3,-0.579508,0.157500,1.410813,1,0.226739,0.156829,1.487872
2500,0.054973,0.055021,3,-0.579508,0.157500,1.410813,1,0.226739,0.156829,1.487872
2520,0.054973,0.055021,1,0.225843,0.156938,1.488751,3,-0.582339,0.156009,1.416406
2540,0.054973,0.055021,1,0.225843,0.156938,1.488751,3,-0.582339,0.156009,1.416406
2560,0.054973,0.055021,1,0.239578,0.174571,1.594041,900,-9999.000000,-9999.000000,-9999.000000
2580,0.054973,0.055021,3,-0.570600,0.158154,1.371274,900,-9999.000000,-9999.000000,-9999.000000
2600,0.054973,0.055021,3,-0.570600,0.158154,1.371274,900,-9999.000000,-9999.000000,-9999.000000
2620,4.436250,4.261296,1,0.226720,0.160867,1.487483,3,-0.587636,0.161509,1.408183
2640,4.436250,4.261296,1,0.226720,0.160867,1.487483,3,-0.587636,0.161509,1.408183
2660,4.436250,4.261296,3,-0.590842,0.160289,1.416034,900,-9999.000000,-9999.000000,-9999.000000
2680,4.436250,4.261296,1,0.237366,0.159177,1.489388,3,-0.586387,0.160036,1.414867
2700,4.436250,4.422037,1,0.237366,0.159177,1.489388,3,-0.586387,0.160036,1.414867
2720,4.436250,4.422037,3,-0.566846,0.157907,1.370177,900,-9999.000000,-9999.000000,-9999.000000
2740,7.115260,6.694240,3,-0.562898,0.157917,1.371314,1,0.249150,0.160166,1.478982
2760,7.115260,6.694240,3,-0.562898,0.157917,1.371314,1,0.249150,0.160166,1.478982
2780,7.115260,6.694240,3,-0.545575,0.150604,1.333088,900,-9999.000000,-9999.000000,-9999.000000
2800,8.043857,7.513669,3,-0.545575,0.150604,1.333088,900,-9999.000000,-9999.000000,-9999.000000
2820,8.043857,7.513669,3,-0.558428,0.154176,1.374084,1,0.254637,0.151768,1.426267
2840,8.043857,7.513669,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
2860,8.789732,7.986570,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
2880,8.789732,7.986570,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
2900,8.789732,7.986570,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
2920,8.789732,7.986570,3,-0.522291,0.150097,1.333389,900,-9999.000000,-9999.000000,-9999.000000
2940,9.142657,8.586860,3,-0.528378,0.157198,1.372308,900,-9999.000000,-9999.000000,-9999.000000
2960,9.142657,8.586860,3,-0.528378,0.157198,1.372308,900,-9999.000000,-9999.000000,-9999.000000
2980,9.142657,8.586860,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
3000,9.334959,8.812304,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
3020,9.334959,8.812304,1,0.304800,0.148509,1.335865,3,-0.511770,0.146857,1.342020
3040,9.334959,8.969122,3,-0.509235,0.142919,1.341332,900,-9999.000000,-9999.000000,-9999.000000
3060,10.020424,8.969122,3,-0.509235,0.142919,1.341332,900,-9999.000000,-9999.000000,-9999.000000
3080,10.020424,8.969122,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
3100,10.020424,9.216049,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
3120,10.020424,9.216049,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
3140,10.296939,9.254893,3,-0.469128,0.146870,1.306156,900,-9999.000000,-9999.000000,-9999.000000
3160,10.296939,9.254893,3,-0.469128,0.146870,1.306156,900,-9999.000000,-9999.000000,-9999.000000
3180,10.434320,9.293928,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
3200,10.434320,9.803769,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
3220,10.434320,9.803769,3,-0.436742,0.142899,1.265988,900,-9999.000000,-9999.000000,-9999.000000
3240,10.568476,9.803769,3,-0.429580,0.146476,1.267458,900,-9999.000000,-9999.000000,-9999.000000
3260,10.568476,9.803769,3,-0.429580,0.146476,1.267458,900,-9999.000000,-9999.000000,-9999.000000
3280,10.568476,9.970153,3,-0.425999,0.150044,1.268044,900,-9999.000000,-9999.000000,-9999.000000
3300,10.568476,9.970153,3,-0.425999,0.150044,1.268044,900,-9999.000000,-9999.000000,-9999.000000
3320,10.656350,9.970153,3,-0.409106,0.146879,1.236026,900,-9999.000000,-9999.000000,-9999.000000
3340,10.614563,10.303020,3,-0.405955,0.148654,1.236230,900,-9999.000000,-9999.000000,-9999.000000
3360,10.614563,10.303020,3,-0.405955,0.148654,1.236230,900,-9999.000000,-9999.000000,-9999.000000
3380,10.609900,10.303020,3,-0.382609,0.140852,1.172351,900,-9999.000000,-9999.000000,-9999.000000
3400,10.609900,10.303020,3,-0.382609,0.140852,1.172351,900,-9999.000000,-9999.000000,-9999.000000
3420,10.715261,10.087219,3,-0.390764,0.145736,1.206304,900,-9999.000000,-9999.000000,-9999.000000
3440,10.715261,10.087219,3,-0.374164,0.144071,1.173281,900,-9999.000000,-9999.000000,-9999.000000
3460,10.715261,10.087219,3,-0.374164,0.144071,1.173281,900,-9999.000000,-9999.000000,-9999.000000
3480,10.621744,9.757007,3,-0.377879,0.150860,1.208610,900,-9999.000000,-9999.000000,-9999.000000
3500,10.621744,9.757007,3,-0.377879,0.150860,1.208610,900,-9999.000000,-9999.000000,-9999.000000
3520,10.621744,9.757007,3,-0.363178,0.148430,1.190045,900,-9999.000000,-9999.000000,-9999.000000
3540,10.515564,9.460538,3,-0.339786,0.144016,1.143871,900,-9999.000000,-9999.000000,-9999.000000
3560,10.515564,9.460538,3,-0.339786,0.144016,1.143871,900,-9999.000000,-9999.000000,-9999.000000
3580,10.463528,9.460538,3,-0.339085,0.150510,1.178605,900,-9999.000000,-9999.000000,-9999.000000
3600,10.463528,9.460538,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
3620,10.386346,9.552929,3,-0.322881,0.147889,1.152771,900,-9999.000000,-9999.000000,-9999.000000
3640,10.443343,9.552929,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
3660,10.443343,9.552929,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
3680,10.443343,9.428155,3,-0.301366,0.141296,1.122412,900,-9999.000000,-9999.000000,-9999.000000
3700,10.443343,9.428155,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
3720,10.495354,9.428155,3,-0.282654,0.140803,1.088696,900,-9999.000000,-9999.000000,-9999.000000
