robot1
td(ms),wD,wI,id,x,y,z,id,x,y,z
1280,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
1300,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
1320,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
1340,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
1360,-0.000000,-0.000000,2,0.138564,0.111356,3.773005,1,-0.675804,0.084175,3.745014
1380,-0.000000,-0.000000,2,0.138564,0.111356,3.773005,1,-0.675804,0.084175,3.745014
1400,-0.000000,-0.000000,2,0.138564,0.111356,3.773005,1,-0.675804,0.084175,3.745014
1420,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
1440,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
1460,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
1480,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
1500,-0.000000,-0.000000,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
1520,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
1540,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
1560,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
1580,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
1600,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
1620,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
1640,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
1660,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
1680,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
1700,-0.000000,-0.000000,2,0.141768,0.111648,3.779939,1,-0.675804,0.084175,3.745014
1720,-0.000000,-0.000000,2,0.141768,0.111648,3.779939,1,-0.675804,0.084175,3.745014
1740,-0.000000,-0.000000,2,0.141768,0.111648,3.779939,1,-0.675804,0.084175,3.745014
1760,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
1780,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
1800,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
1820,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
1840,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
1860,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
1880,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
1900,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
1920,0.000000,0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
1940,0.000000,0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
1960,0.000000,0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
1980,0.000000,0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
2000,0.000000,0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
2020,0.000000,0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
